activity_month_at,months_since_2020,unattributed_conversion_count,unattributed_multiplier
2020-04-01,3,956,0.5358744394618834
2020-05-01,4,1029,0.2561613144137416
2020-06-01,5,1180,0.37318153067678683
2020-07-01,6,1953,0.46422628951747086
2020-08-01,7,1650,0.3264094955489614
2020-09-01,8,1420,0.3256880733944954
2020-11-01,10,943,0.5181318681318682
2021-02-01,13,2942,0.3682102628285357
2021-04-01,15,1818,0.28825114951641034
2021-05-01,16,1642,0.3036804142777881
2021-06-01,17,1269,0.28131234759476836
2021-07-01,18,1495,0.31889931740614336
2021-08-01,19,1443,0.23410123296560675
2021-09-01,20,1763,0.24237008523508385
2021-10-01,21,2728,0.3757058256438507
2021-11-01,22,1459,0.45808477237048667
2022-01-01,24,3947,0.3400241212956582
2022-02-01,25,4468,0.22820368762449564
2022-03-01,26,6225,0.2572845629262244
2022-04-01,27,4556,0.24396251673360106
2022-05-01,28,3744,0.2482923270773924
2022-06-01,29,4017,0.29608609125082924
2022-07-01,30,3449,0.34091133735297025
2022-08-01,31,5408,0.2674844198239193
2022-09-01,32,6440,0.26261061044733514
2022-10-01,33,5405,0.2938617952481922
2022-11-01,34,3873,0.346949744692287
2022-12-01,35,2414,0.47849355797819626
2023-01-01,36,5988,0.3664402423352304
2023-02-01,37,6872,0.2101979016914936
2023-03-01,38,7706,0.20250170809901719
2023-04-01,39,8486,0.26198635423420086
2023-05-01,40,7813,0.294164156626506
2023-06-01,41,6996,0.5042525587429725
