event_week,legacy_chronic,y2_organic,enso_forecast
2022-04-25,0,136.8,0
2022-07-18,0,165.3,113
2022-08-22,0,165.3,76
2022-10-03,0,165.4,113
2022-10-31,0,165.4,312
2022-09-19,0,165.3,189
2022-07-25,0,165.3,189
2022-11-28,0,165.4,710
2022-08-08,0,165.3,113
2022-05-23,0,136.8,338
2022-07-04,0,165.3,189
2022-12-12,0,165.4,1003
2022-12-26,0,165.4,567
2022-10-17,0,165.4,595
2022-09-26,0,165.3,586
2022-04-11,0,136.8,0
2022-12-19,0,165.4,189
2022-06-27,0,136.8,0
2022-10-10,0,165.4,851
2022-06-20,0,136.8,0
2022-04-18,0,136.8,0
2022-07-11,0,165.3,0
2022-11-07,0,165.4,443
2022-12-05,0,165.4,284
2022-09-05,0,165.3,0
2022-02-07,0,92.5,0
2022-01-24,0,92.5,0
2022-11-14,0,165.4,447
2022-05-02,0,136.8,23
2022-04-04,0,136.8,0
2022-01-31,0,92.5,0
2022-09-12,0,165.3,189
2022-05-30,0,136.8,0
2022-06-13,0,136.8,0
2022-03-21,0,92.5,0
2022-10-24,0,165.4,894
2022-08-01,0,165.3,76
2022-08-15,0,165.3,0
2022-01-10,0,92.5,0
2022-01-17,0,92.5,0
2022-11-21,0,165.4,637
2022-02-21,0,92.5,0
2022-03-14,0,92.5,0
2022-03-07,0,92.5,0
2022-02-28,0,92.5,0
2022-08-29,0,165.3,0
2022-05-16,0,136.8,0
2022-01-03,0,92.5,0
2022-02-14,0,92.5,0
2022-06-06,0,136.8,0
2022-03-28,0,92.5,0
2022-05-09,0,136.8,90
