iterable_lower_customer_identifier_short,master_customer_identifier,master_customer_id,master_customer_name
abbottlaboratories,abbott,122,Abbott Laboratories
arthurjgallagher,ajg,252,Arthur J Gallagher
alliantinsuranceserv,alliant,674,Alliant Insurance Services
allinahealth,allinahealth,271,Allina Health - Aetna
americaneagle,americaneagle,339,American Eagle
anthem_em,anthem,572,Anthem
ardaghgroup,ardaghgroup,267,Ardagh Group
bluecrossblueshieldassociation,bcbsa,116,Blue Cross Blue Shield Association
bluecrossandblueshieldofillinois,bcbsil,126,Blue Cross and Blue Shield of Illinois
bluecrossandblueshieldofnorthcarolina,bcbsnc,42,Blue Cross and Blue Shield of North Carolina
bluecrossandblueshieldoftexas,bcbstx,127,Blue Cross and Blue Shield of Texas
boeingdistributionservicesinc,bdsi,120,Boeing Distribution Services Inc
belmontvillage,belmont,125,Belmont Village
bhp,bhi,590,BHI Energy
bigy,bigy,189,Big Y
brevardpublicschools,brevard,332,Brevard Public Schools
bryancaveleightonpaisnerllp,bryancaveleightonpaisnerllp,240,Bryan Cave Leighton Paisner LLP
battellesavannahriveralliance,bsra,335,Battelle Savannah River Alliance
buildersfirstsource,builders,78,Builders FirstSource
centralunifiedschooldistrictofcalifornia,centralusd,171,Central Unified School District of California
cevalogistics,ceva,195,CEVA Logistics
changehealthcare,changehealthcare,177,Change Healthcare
cityofboston,cityofboston,337,City of Boston
cityofgarland,cityofgarland,172,City of Garland 
cokeconsolidated,cokeconsolidated,315,Coke Consolidated
commercebank,commerce,166,Commerce Bank
cvshealth-employer,cvshealth,485,CVS Health-Employer
davidsbridal,davidsbridalllc,83,Davids Bridal LLC
dentalcarealliance,dental_care_alliance,161,Dental Care Alliance
dlapiper,dlapiper,348,DLA Piper
dlapiperus,dlapiper,348,DLA Piper
dollargeneral,dollar_general,186,Dollar General
dollartree,dollartree,183,Dollar Tree
dollar_tree,dollartree,183,Dollar Tree
dprconstruction,dprconstruction,241,DPR Construction
dupontmobility,dupont,407,DuPont
elbitsystems,elbit,152,Elbit Systems
exxon_targetted,exxon,428,ExxonMobil
stateofflorida,florida,775,State of Florida
statofflorida,florida,775,State of Florida
foreignservicebenefitplan,foreignservice,294,Foreign Service Benefit Plan
fortunebrands,fortunebrands,96,Fortune Brands
freseniuskabi,fresenius,327,Fresenius Kabi
hesscorporation,hess,180,Hess Corporation
hexawaretechnologies,hexaware,347,Hexaware Technologies
hingehealth,Hinge,13,Hinge Health Internal
jewelholdings,hmsholdings,293,HMS Holdings Corp
hollisterinc,hollister,202,Hollister Inc
homedepot,homedepot,43,Home Depot
hunterdouglas,hunterdouglas,211,Hunter Douglas
il_institute_of_technology,illinoistech,218,Illinois Institute of Technology
illinoisinstituteoftechnology,illinoistech,218,Illinois Institute of Technology
ironroadhealthcare,ironroad,307,Iron Road Healthcare
johnsonandjohnson,jj,176,Johnson and Johnson
kimberly-clarkcompany,kimberlyclark,766,Kimberly-Clark Company
kindermorgan,kindermorgan,217,Kinder Morgan
kochindustries,koch,343,Koch Industries
kraftheinz,kraft,36,Kraft Heinz
losalamosnationallaboratory,lanl,70,Los Alamos National Laboratory
libertyutilities,libertyutilities,153,Liberty Utilities
michiganautomotivecompressorgroupinc,maci,269,Michigan Automotive Compressor Group Inc
michaelsstores,michaels,431,Michaels Stores
massachusettslaborersbenefitfunds,mlbf,63,Massachusetts Laborers Benefit Funds
3m,mmm,386,3M
mohawkindustries,mohawk,385,Mohawk Industries
mondibags,mondi,90,Mondi Bags
vidanthealth,monument,1376,Monument Health
mortonsalt,mortonsalt,50,Morton Salt
munichreinsurance,munich,336,Munich Reinsurance
montanauniversitysystem,mus,317,Montana University System
nevadagoldmines,nevadagold,325,Nevada Gold Mines
stateofnewjersey,newjersey,162,State of New Jersey
newscorp,newscorp,68,News Corp
nielsenmedia,nielsenmedia,10,Nielsen Media
northwesternuniversity,northwestern_university,138,Northwestern University
occidentalpetroleum,occidental,264,Occidental Petroleum
oceaneeringinternational,oceaneering,394,Oceaneering International
oklahomapublicemployerhealthandwelfare,opehw,163,Oklahoma Public Employer Health and Welfare 
redbull,red_bull,12,Red Bull
robertbosch,robert_bosch,150,Robert Bosch
ruralcarrierbenefitplan,ruralcarrier,300,Rural Carrier Benefit Plan
saputocheese,saputo,331,Saputo Cheese
sealedair,sealedair,93,Sealed Air
signatureaviation,signatureaviation,877,Signature Aviation
self-insuredschoolsofcalifornia,sisc,58,Self-Insured Schools of California
southerncompany,soco,19,Southern Company
savannahriverremediation,srns,44,Savannah River Nuclear Solutions
savannahrivernuclearsolutions,srns,44,Savannah River Nuclear Solutions
syneoshealth,syneos,354,Syneos Health
teaminc,team,276,TEAM Inc
travelandleisureco.,travelandleisure,179,Travel and Leisure Co.
universityofchicago,uchicago,185,University of Chicago
usicllc,usic,22,USIC
universityoftexas,uts,62,University of Texas
veriskanalytics,verisk,223,Verisk Analytics
wastemanagement,wastemanagement,72,Waste Management
westerndigital,westerndigital,319,Western Digital
wolterskluwer,wolterskluwer,92,Wolters Kluwer
zfnorthamerica,zf_northamerica,173,ZF North America
zurichinsurancegroup,zurich,261,Zurich Insurance Group
